author,school
朱枫,中国科学院沈阳自动化研究所
谈大龙,中国科学院机器人学开放研究实验室 沈阳110016
朱庆保,南京师范大学计算机科学系 南京210097
王常武,燕山大学信息科学与工程学院
孔令富,燕山大学信息科学与工程学院
韩佩富,燕山大学信息科学与工程学院
赵立强,燕山大学信息科学与工程学院
刘克胜,中国科技大学计算机系
张军,中国科技大学计算机系
曹先彬,中国科技大学计算机系
王煦法,中国科技大学计算机系
刘永红,石油大学机电工程系
李庆云,石油大学机电工程系
杨毅,石油大学机电工程系
孙羽,湛江海洋大学工程学院计算机系
张英夫,湛江海洋大学工程学院计算机系
张汝波,湛江海洋大学工程学院计算机系
张军宇,清华大学计算机科学与技术系智能技术与系统国家重点实验室
何克忠,清华大学计算机科学与技术系智能技术与系统国家重点实验室
刘珑龙,青岛海洋大学数学系
钟碧良,广东工业大学自动化研究所
陈承志,广东工业大学自动化研究所
杨宜民,广东工业大学自动化研究所
刘振宇,沈阳自动化所新松公司技术开发部
徐方,沈阳自动化所新松公司技术开发部 沈阳110016
洪炳熔,哈尔滨工业大学计算机系智能机器人研究室
薄喜柱,哈尔滨工业大学计算机系智能机器人研究室
韩学东,哈尔滨工业大学计算机系智能机器人研究室
温旭,清华大学自动化系
姜巍,清华大学自动化系
张金生,清华大学自动化系
石宗英,清华大学自动化系
钟宜生,清华大学自动化系
杜继宏,清华大学自动化系
徐文立,清华大学自动化系
王晓春,沈阳大学信息学院
刘天惠,沈阳大学信息学院
董立菊,沈阳大学信息学院
徐继镶,沈阳大学信息学院
马宏鹏,南开大学机器人与信息自动化研究所
翁春华,南开大学机器人与信息自动化研究所
张蕾,南开大学机器人与信息自动化研究所
赵新,南开大学机器人与信息自动化研究所
刘景泰,南开大学机器人与信息自动化研究所
卢桂章,南开大学机器人与信息自动化研究所
戴开宇,上海交通大学计算机集成技术开放实验室
张申生,上海交通大学计算机集成技术开放实验室
王淼,上海交通大学计算机集成技术开放实验室
杨玉君,上海交通大学信息存储研究中心
陈佳品,上海交通大学信息存储研究中心
程君实,上海交通大学信息存储研究中心
李小海,上海交通大学信息存储研究中心
朱永光,清华大学自动化系
孙政顺,清华大学自动化系
赵南元,清华大学自动化系
曹彤,北京科技大学机械工程学院
员超,北京航空航天大学机器人所
孙杏初,北京航空航天大学机器人所 北京100083
彭刚,华中科技大学控制科学与工程系
黄心汉,华中科技大学控制科学与工程系
蒋毅,华中科技大学控制科学与工程系
高志军,上海交通大学电子信息学院820研究所
颜国正,上海交通大学电子信息学院820研究所
丁国清,上海交通大学电子信息学院820研究所
颜德田,上海交通大学电子信息学院820研究所
张伟,清华大学自动化系
杜继宏,清华大学自动化系 北京100084
兰丽,清华大学智能技术与系统国家重点实验室
赵清杰,清华大学智能技术与系统国家重点实验室
孙增圻,清华大学智能技术与系统国家重点实验室
蒋金鹏,上海交通大学电子信息学院820所
颜国正,上海交通大学电子信息学院820所
丁国清,上海交通大学电子信息学院820所
王宏杰,上海交通大学电子信息学院820所
王于,上海交通大学电子信息学院820所
王志武,上海交通大学电子信息学院820所
吴文清,天津大学理学院
刘嘉焜,天津职业技术师范学院自动化系 天津300072
崔世钢,天津300222
范红,上海海运学院
蒋静坪,浙江大学电气工程学院 上海200135
宋宜斌,烟台大学计算机学院
王培进,烟台大学计算机学院
李凯里,烟台大学计算机学院
沈进棋,浙江大学电气工程学院
诸静,浙江大学电气工程学院 杭州310027
王世军,西安理工大学机械与精密仪器学院
黄玉美,西安理工大学机械与精密仪器学院 西安710048
李桂芝,北京科技大学信息学院
陈细军,北京科技大学信息学院
杨国胜,北京科技大学信息学院
谭民,北京科技大学信息学院
涂序彦,北京科技大学信息学院
乔凤斌,上海交通大学机器人研究所
杨汝清,上海交通大学机器人研究所 上海200030
甘贤海,上海交通大学电子信息与电气工程学院
丁国清,上海交通大学电子信息与电气工程学院 上海200030
汤琼,浙江工业大学信息工程学院
杨东勇,浙江工业大学信息工程学院 杭州310014
刘佳新,燕山大学网络中心
王玉琨,河北省工程咨询研究院
王新生,燕山大学计算机系 河北秦皇岛066004
吴山东,上海大学计算机工程与科学学院
陈一民,上海大学计算机工程与科学学院
何永义,上海大学计算机工程与科学学院
陈宁,华中科技大学控制科学与工程系复杂与非线性系统中心
王永骥,华中科技大学控制科学与工程系复杂与非线性系统中心
程磊,华中科技大学控制科学与工程系复杂与非线性系统中心
史胜利,哈尔滨工程大学
孟庆鑫,深圳大学
阮双琛,深圳大学 哈尔滨150001
郭小勤,深圳518060
王东署,东北大学人工智能与机器人研究所
张志佳,中国科学院沈阳自动化研究所
史泽林,中国科学院沈阳自动化研究所 沈阳110004
谢云,广东工业大学自动化学院
杨宜民,广东工业大学自动化学院 广州510090
张永谦,中国科学院自动化研究所
王挺,中国科学院沈阳自动化研究所
安成万,中国科学院自动化研究所 北京100080装甲兵工程学院控制工程系
谭民,北京100072
刘海波,哈尔滨工程大学计算机科学与技术学院
顾国昌,哈尔滨工程大学计算机科学与技术学院
沈晶,哈尔滨工程大学计算机科学与技术学院
熊震宇,南昌航空工业学院材料科学与工程系
陈焕明,南昌航空工业学院材料科学与工程系
葛杨,南昌航空工业学院材料科学与工程系
迟健男,东北大学人工智能与机器人研究所
徐心和,东北大学人工智能与机器人研究所
周庆瑞,中国科学院自动化研究所高技术创新中心
原魁,中国科学院自动化研究所高技术创新中心
刘俊承,中国科学院自动化研究所高技术创新中心
王璐,中南大学信息科学与工程学院智能所
崔益安,中南大学信息科学与工程学院智能所 长沙410083
苏虹,中原工学院计算机系
蔡自兴,郑州450007
唐琎,中南大学信息科学与工程学院
白涛,Department of Electrical & Computer Engineering
蔡自兴,Dalhousie University
汤志彦,复旦大学计算机科学与工程系
冯哲,复旦大学计算机科学与工程系 上海200433
王卫,中国科学技术大学电子工程于信息科学系
陈继荣,中国科学技术大学电子工程于信息科学系
徐璟业,中国科学技术大学电子工程于信息科学系
蒋治华,中国科学技术大学电子工程于信息科学系
李晓丽,西安理工大学机械与精密仪器学院
谢敬,西安理工大学机械与精密仪器学院
傅卫平,西安理工大学机械与精密仪器学院
杨静,西安理工大学机械与精密仪器学院
王卫,中国科学技术大学电子工程与信息科学系
陈继荣,中国科学技术大学电子工程与信息科学系
徐璟业,中国科学技术大学电子工程与信息科学系
史豪斌,西北工业大学计算机学院
李伟华,西北工业大学计算机学院
王涤飞,西北工业大学计算机学院
严建峰,西北工业大学计算机学院
李枚毅,中南大学信息科学与工程学院
蔡自兴,中南大学信息科学与工程学院 长沙410083
王仲民,河北工业大学机械工程学院
岳宏,天津职业技术师范学院机械工程系 天津300130天津职业技术师范学院机械工程系
刘继岩,天津300222
朱皖,中南大学信息科学与工程学院 长沙410083国防科大信息与通信工程博士后流动站湘计算机工作站
陈玥,长沙410007
张闻捷,长沙410083
任燚,中国科学技术大学自动化系
陈宗海,中国科学技术大学自动化系 合肥230026
张祺,广东工业大学自动化学院
杨宜民,华南师范大学计算机学院 广州510090
陈红英,广州510630
彭金柱,湖南大学电气与信息工程学院
王耀南,湖南大学电气与信息工程学院
孙炜,湖南大学电气与信息工程学院
张美玉,华南理工大学数学科学院
黄翰,华南理工大学数学科学院
郝志峰,华南理工大学数学科学院
杨晓伟,华南理工大学数学科学院
王辉,中国科学院自动化研究所
邹伟,中国科学院自动化研究所
郑睿,中国科学院自动化研究所
屈彦呈,哈尔滨工业大学空间控制与惯性技术研究中心
黄亨俊,哈尔滨工业大学空间控制与惯性技术研究中心
王常虹,哈尔滨工业大学空间控制与惯性技术研究中心
周浦城,哈尔滨工业大学计算机科学与工程系
洪炳镕,哈尔滨工业大学计算机科学与工程系
郭耸,哈尔滨工业大学计算机科学与工程系
廖明,解放军理工大学工程兵学院
刘安心,解放军理工大学工程兵学院
张金林,解放军理工大学工程兵学院
芮挺,解放军理工大学工程兵学院
方虎生,解放军理工大学工程兵学院
王海峰,清华大学电机系电工新技术研究所
陆文娟,清华大学电机系电工新技术研究所
冯川,清华大学电机系电工新技术研究所
冯延蓬,中国科学技术大学计算机系
陈小平,中国科学技术大学计算机系 合肥230027
邢笑笑,清华大学自动化系
熊举峰,湖南师范大学物理与信息科学学院
谭冠政,中南大学信息科学与工程学院
盘辉,湖南师范大学物理与信息科学学院 长沙410081中南大学信息科学与工程学院长沙410083
孔凡天,华中科技大学国家数控系统工程技术研究中心
陈幼平,华中科技大学国家数控系统工程技术研究中心
谢经明,华中科技大学国家数控系统工程技术研究中心
张冈,华中科技大学国家数控系统工程技术研究中心
周祖德,华中科技大学国家数控系统工程技术研究中心
段清娟,西北工业大学
王润孝,西北工业大学
冯华山,西北工业大学
王立刚,西北工业大学
潘炼东,华中科技大学控制科学与工程系
黄心汉,华中科技大学控制科学与工程系 武汉430074
彭一准,中国科学院自动化研究所
原魁,中国科学院自动化研究所
谢雅,中南大学信息科学与工程学院
彭军,中南大学信息科学与工程学院
吴敏,中南大学信息科学与工程学院
肖海荣,山东交通学院信息工程系
周风余,山东大学控制学院
宋洪军,山东交通学院信息工程系 济南250023
刘文江,济南250061
高健,华中科技大学控制科学与工程系
王云刚,中国科学技术大学电子工程与信息科学系
陈保林,中国科学技术大学电子工程与信息科学系
符秀辉,中国科学院沈阳自动化研究所
化建宁,中国科学院沈阳自动化研究所 沈阳110015 沈阳化工学院
郑伟,沈阳110142 中国科学院研究生院
王越超,北京100081
胡庭波,国防科技大学机电工程与自动化学院
吴涛,国防科技大学机电工程与自动化学院
贺汉根,国防科技大学机电工程与自动化学院
慕延华,北京科技大学信息工程学院
尹怡欣,北京科技大学信息工程学院
涂序彦,北京科技大学信息工程学院
孙铁强,北京科技大学信息工程学院
周郭许,华南理工大学数学科学学院
唐西林,华南理工大学数学科学学院 广州510640
王俭,苏州科技学院电子与信息工程系
赵鹤鸣,苏州大学电子信息学院
肖金球,苏州科技学院电子与信息工程系 苏州215011
罗沛,华南理工大学自动化科学与工程学院
裴海龙,华南理工大学自动化科学与工程学院 广州510641
黄炳强,上海交通大学自动化系
曹广益,上海交通大学自动化系 上海200030
芮素波,江苏科技大学电子信息学院
曾庆军,江苏科技大学电子信息学院 江苏镇江212003
江美青,西北工业大学计算机学院
李孝安,西北工业大学计算机学院
谭然,西北工业大学计算机学院
肖乐,南京工业大学机械与动力工程学院
殷晨波,南京工业大学机械与动力工程学院
杨敏,南京工业大学机械与动力工程学院
张伯泉,广东工业大学自动化学院
于莲芝,上海交通大学电子信息学院820所
颜国正,上海交通大学电子信息学院820所 上海200240 上海理工大学光学与电子信息学院
王东署,郑州大学电气工程学院
张志佳,沈阳工业大学信息工程学院 郑州450001
袁杨,复旦大学电子工程系智能控制实验室
陈雄,复旦大学电子工程系智能控制实验室 上海200433
窦宏全,中南大学信息科学与工程学院 长沙410081 中南大学信息科学与工程学院
魏佩敏,绍兴文理学院工学院 浙江绍兴312000
周景雷,山东科技大学信息与电气工程学院
张维海,山东科技大学信息与电气工程学院 山东青岛266510
赵杰,哈尔滨工业大学机器人研究所
姜健,哈尔滨工业大学机器人研究所
臧希喆,哈尔滨工业大学机器人研究所
唐国新,复旦大学信息学院
陈雄,复旦大学信息学院
袁杨,复旦大学信息学院
焦立男,南京理工大学计算机科学与技术学院模式识别与机器智能研究所
唐振民,南京理工大学计算机科学与技术学院模式识别与机器智能研究所 南京210094
彭日亮,广东工业大学自动化学院
杨宜民,广东工业大学自动化学院
王赟,广东工业大学自动化学院
成伟明,南京理工大学计算机科学与技术系
唐振民,南京理工大学计算机科学与技术系
赵春霞,南京理工大学计算机科学与技术系
张晓晖,西安理工大学自动化与信息工程学院
刘丁,西安理工大学自动化与信息工程学院 西安710048
秦政,哈尔滨工程大学自动化学院
丁福光,哈尔滨工程大学自动化学院
边信黔,哈尔滨工程大学自动化学院
李全民,山东建筑大学信息与电气工程学院
张运楚,山东建筑大学信息与电气工程学院
李俊策,山东建筑大学信息与电气工程学院
闫继宏,哈尔滨工业大学机器人研究所
孙亮,北京工业大学人工智能与机器人研究所
常青,北京工业大学人工智能与机器人研究所
阮晓钢,北京工业大学人工智能与机器人研究所
段清娟,西安电子科技大学
丁良宏,西北工业大学 西安710072
赵飞,燕山大学信息科学与工程学院
赵逢达,燕山大学信息科学与工程学院
金雷泽,中国科学院沈阳自动化研究所
杜振军,中国科学院沈阳自动化研究所 沈阳110016
贾凯,中国科学院研究生院
范红,上海海事大学物流工程学院电气自动化系
黄洪琼,上海海事大学信息工程学院 上海200135
宋洪军,山东大学控制学院
李贻斌,山东大学控制学院
贾磊,山东大学控制学院
周彤,哈尔滨工业大学计算机科学与技术学院
洪炳镕,哈尔滨工业大学计算机科学与技术学院
朴松昊,哈尔滨工业大学计算机科学与技术学院
周洪玉,哈尔滨工业大学计算机科学与技术学院
郭利进,天津大学电气与自动化工程学院
王化祥,天津大学电气与自动化工程学院
孟庆浩,天津大学电气与自动化工程学院
邱亚男,天津大学电气与自动化工程学院
肖本贤,合肥工业大学自动化研究所
余炎峰,合肥工业大学自动化研究所
余雷,合肥工业大学自动化研究所
陈昊,合肥工业大学自动化研究所
皮剑,湖南师范大学物理与信息科学学院 长沙410081中南大学信息科学与工程学院
国海涛,南京师范大学数学与计算机科学学院
朱庆保,南京师范大学数学与计算机科学学院
司应涛,南京师范大学数学与计算机科学学院
张彦,中国科学技术大学自动化系
关胜晓,中国科学技术大学自动化系 合肥230027
郭剑辉,南京理工大学计算机学院
赵春霞,南京理工大学计算机学院 南京210094
石杏喜,南京210094南京理工大学理学院
吴笛飞,东华大学信息科学与技术学院
丁永生,东华大学信息科学与技术学院
郝矿荣,东华大学信息科学与技术学院
张淑平,东华大学信息科学与技术学院
杨世强,西安理工大学机械与精密仪器工程学院
傅卫平,西安理工大学机械与精密仪器工程学院
王红涛,西安理工大学机械与精密仪器工程学院
李响,中国科学院沈阳自动化研究所机器人学重点实验室
王越超,中国科学院沈阳自动化研究所机器人学重点实验室 沈阳100016 中国科学院研究生院
陈世明,华东交通大学电气与电子工程学院 南昌330013
司应涛,南京师范大学计算机系
朱庆保,南京师范大学计算机系
国海涛,南京师范大学计算机系
绳涛,国防科技大学机器人实验室
王剑,国防科技大学机器人实验室
马宏绪,国防科技大学机器人实验室
任志斌,江西理工大学机电工程学院
阮毅,上海大学机电工程与自动化学院 江西赣州341000
宗晓萍,河北大学电子信息工程学院
石圣羽,河北大学电子信息工程学院
田华,河北大学电子信息工程学院
蔡广宇,华中科技大学机械学院
崔士林,南阳理工学院
吴昌林,华中科技大学机械学院 武汉430074 南阳理工学院
刘金科,燕山大学信息科学与工程学院
郭希娟,燕山大学信息科学与工程学院
刘爽,燕山大学信息科学与工程学院
史国振,北京邮电大学计算机科学与技术学院
孙汉旭,北京邮电大学自动化学院
贾庆轩,北京邮电大学自动化学院 北京100876北京电子科技学院电子信息工程系
张延恒,北京100070
黎萍,广东工业大学自动化学院
张立勋,哈尔滨工程大学机电工程学院
卜迟武,哈尔滨工程大学机电工程学院 哈尔滨150001
杨放琼,中南大学机电工程学院
谭青,中南大学机电工程学院
彭高明,中南大学机电工程学院
孔令富,燕山大学信息科学与工程学院 河北秦皇岛066004
邵桂芳,厦门大学模式识别与智能系统研究所
李祖枢,重庆工学院人工智能系统研究所
于芳,重庆工学院人工智能系统研究所 福建厦门361005重庆工学院人工智能系统研究所
杨唐文,北京交通大学计算机与信息技术学院
韩建达,中国科学院沈阳自动化研究所机器人学国家重点实验室
KUHNERT K D,德国锡根大学电气与计算机科学系
刘俊承,华北电力大学自动化系
王淼鑫,华北电力大学自动化系
张捍东,安徽工业大学电气信息学院
吴玉秀,安徽工业大学电气信息学院
岑豫皖,安徽工业大学电气信息学院
谭冠政,湖南师范大学物理与信息科学学院
皮剑,湖南师范大学物理与信息科学学院
李荣华,大连理工大学精密与特种加工教育部重点实验室
褚金奎,大连理工大学精密与特种加工教育部重点实验室
李庆瀛,大连理工大学精密与特种加工教育部重点实验室
王洪青,大连理工大学精密与特种加工教育部重点实验室
聂黎明,广西民族大学数学与计算机科学学院
周永权,广西民族大学数学与计算机科学学院
张学习,广东工业大学自动化学院
何启承,广东工业大学自动化学院
张鹏飞,西安理工大学机械与精密仪器工程学院
李东洁,哈尔滨理工大学自动化学院
尤波,哈尔滨理工大学自动化学院
王宝刚,哈尔滨理工大学自动化学院
王俭,苏州科技大学电子与信息工程学院
许波,湖南大学计算机与通信学院
李智勇,湖南大学计算机与通信学院
王永,湖南大学计算机与通信学院
朱从民,西安理工大学机械与精密仪器工程学院
黄玉美,西安理工大学机械与精密仪器工程学院
上官望义,西安理工大学机械与精密仪器工程学院
石杏喜,南京理工大学
赵春霞,南京理工大学
郭剑辉,南京理工大学
程思微,国防科技大学机器人实验室
梁明,江苏食品职业技术学院
徐守江,江苏食品职业技术学院
叶晔,安徽工业大学机械工程学院
岑豫皖,安徽工业大学机械工程学院
谢能刚,安徽工业大学机械工程学院
万树平,江西财经大学信息管理学院
刘毅华,浙江大学宁波理工学院
褚如元,镇海炼油化工股份有限公司下属检修安装公司
晏鹏宇,西北工业大学管理学院
车阿大,西北工业大学管理学院
杨乃定,西北工业大学管理学院
钟娜,西北工业大学管理学院
张兆印,黑龙江大学计算机科学技术学院
包芳,江南大学信息工程学院
潘永惠,江南大学信息工程学院
须文波,江南大学信息工程学院
陈志国,江南大学信息工程学院
陈建荣,广西民族大学数学与计算机科学学院
石守东,西北工业大学航海学院
徐德民,西北工业大学航海学院
赵立兴,燕山大学西校区电院工业计算机控制工程河北省重点实验室
王双霞,燕山大学西校区电院工业计算机控制工程河北省重点实验室
王洪瑞,燕山大学西校区电院工业计算机控制工程河北省重点实验室
李华忠,深圳信息职业技术学院软件工程系
游维,湘潭大学信息工程学院
李枚毅,湘潭大学信息工程学院
吴琼,湘潭大学信息工程学院
胡剑,湘潭大学信息工程学院
王杰,郑州大学电气工程学院
周永年,郑州大学电气工程学院
刘金锋,郑州大学电气工程学院
李响,中科院沈阳自动化研究所机器人学国家重点实验室
王越超,中国科学院研究生院
陈建平,广东工业大学自动化学院
杨宜民,肇庆学院计算机科学与软件学院
陈应松,成都电子机械高等专科学校机电系
肖世德,成都电子机械高等专科学校机电系
王文玺,成都电子机械高等专科学校机电系
林静,成都电子机械高等专科学校机电系
张卫华,成都电子机械高等专科学校机电系
罗三定,中南大学信息科学与工程学院
刘薇,中南大学信息科学与工程学院
袁铸,河南科技大学电子信息工程学院
阎保定,河南科技大学电子信息工程学院
梁丁宏,西安理工大学机械与精密仪器工程学院
张彤,华南理工大学计算机科学与工程学院
肖南峰,广东警官学院计算机系
段爱玲,河南工业大学信息科学与工程学院
邓高峰,河南工业大学信息科学与工程学院
张雪萍,河南工业大学信息科学与工程学院
刘彦萍,河南工业大学信息科学与工程学院
王家耀,河南工业大学信息科学与工程学院
张磊,哈尔滨工程大学船舶工程学院
万磊,哈尔滨工程大学船舶工程学院
李晔,哈尔滨工程大学船舶工程学院
姚志广,哈尔滨工程大学船舶工程学院
付浩,国防科技大学机电工程与自动化学院
张辉,国防科技大学机电工程与自动化学院
安向京,国防科技大学机电工程与自动化学院
陈卫东,燕山大学信息学院
李宝霞,燕山大学信息学院
朱奇光,燕山大学信息学院
傅瑶,合肥工业大学电气学院自动化系
张崇巍,合肥工业大学电气学院自动化系
鲍伟,合肥工业大学电气学院自动化系
徐玉华,合肥工业大学电气学院自动化系
汪木兰,合肥工业大学电气学院自动化系
刘松,四川大学计算机学院
李志蜀,四川大学计算机学院
李奇,四川大学计算机学院
杨惠,长沙理工大学计算机与通信工程学院
李峰,长沙理工大学计算机与通信工程学院
刘成军,重庆大学智能自动化研究所
李祖枢,重庆大学智能自动化研究所
薛方正,重庆大学智能自动化研究所
王作为,哈尔滨工程大学计算机科学与技术学院
张汝波,哈尔滨工程大学计算机科学与技术学院
蔡广宇,南阳理工学院
芮挺,解放军理工大学工程兵工程学院
朱经纬,解放军理工大学工程兵工程学院
蒋新胜,解放军理工大学工程兵工程学院
廖明,解放军理工大学工程兵工程学院
肖乐,常熟理工学院计算机科学与工程学院
李明杰,常熟理工学院计算机科学与工程学院
潘欣裕,苏州科技学院电子与信息工程学院
公维理,苏州科技学院电子与信息工程学院
王俭,苏州科技学院电子与信息工程学院
赵鹤鸣,苏州科技学院电子与信息工程学院
朱群峰,邵阳学院电气工程系
宋亚男,邵阳学院电气工程系
杨宜民,邵阳学院电气工程系
徐荣华,邵阳学院电气工程系
曹有辉,装甲兵工程学院机械工程系
王良曦,装甲兵工程学院机械工程系
姜永成,北京航空航天大学机械工程与自动化学院
周正干,北京航空航天大学机械工程与自动化学院
任福君,北京航空航天大学机械工程与自动化学院
王殿君,北京航空航天大学机械工程与自动化学院
倪鹏,北京航空航天大学机械工程与自动化学院
冯玉东,燕山大学西校区电院工业计算机控制工程河北省重点实验室
刘秀玲,燕山大学西校区电院工业计算机控制工程河北省重点实验室
冯展芳,燕山大学西校区电院工业计算机控制工程河北省重点实验室
郝晓弘,兰州理工大学电气工程与信息工程学院
刘晓鹏,兰州理工大学电气工程与信息工程学院
岳和平,兰州理工大学电气工程与信息工程学院
张帆,兰州理工大学电气工程与信息工程学院
刘振宇,沈阳工业大学信息科学与工程学院
姜楠,沈阳工业大学信息科学与工程学院
张令涛,沈阳工业大学信息科学与工程学院
张万绪,西北大学信息科学与技术学院
张建斌,西北大学信息科学与技术学院
张远,西北大学信息科学与技术学院
张海霞,湖南大学电气与信息工程学院
缪思怡,湖南大学电气与信息工程学院
雷艳敏,哈尔滨工程大学自动化学院
朱齐丹,长春大学电子信息工程学院
冯志彬,空军航空大学航空救生系
罗钧,重庆大学光电技术及系统教育部重点实验室
李锐,重庆大学光电技术及系统教育部重点实验室
樊鹏程,重庆大学光电技术及系统教育部重点实验室
钱厚亮,南京工业大学自动化学院
梅雪,南京工业大学自动化学院
林锦国,南京工业大学自动化学院
宋银灏,南开大学信息技术科学学院
安刚,南开大学信息技术科学学院
张建勋,南开大学信息技术科学学院
张娜,南开大学信息技术科学学院
袁丰华,南开大学信息技术科学学院
蔡剑怀,厦门大学信息科学与技术学院
李茂青,厦门大学信息科学与技术学院
吴顺祥,厦门大学信息科学与技术学院
夏桂华,哈尔滨工程大学自动化学院
王博,哈尔滨工程大学自动化学院
朱齐丹,哈尔滨工程大学自动化学院
刘心,哈尔滨工程大学水下智能机器人技术国防科技重点实验室
印桂生,哈尔滨工程大学计算机科学与技术学院
张磊,哈尔滨工程大学信息与通信工程学院
姜丽梅,哈尔滨工程大学计算机科学与技术学院
王超伦,哈尔滨工程大学计算机科学与技术学院
冯洪奎,上海交通大学计算机集成制造研究所
鲍劲松,上海交通大学计算机集成制造研究所
金烨,上海交通大学计算机集成制造研究所
彭辉,广西工业职业技术学院
曾碧,广东工业大学
敬成林,重庆大学智能自动化研究所
王冠林,清华大学计算机科学与技术系
史海庆,清华大学计算机科学与技术系
谭洪胜,清华大学计算机科学与技术系
朱纪洪,清华大学计算机科学与技术系
隋玲玲,复旦大学电子工程系
陈雄,复旦大学电子工程系
马文涛,上海交通大学机械与动力工程学院机器人研究所
闫维新,上海交通大学机械与动力工程学院机器人研究所
付庄,上海交通大学机械与动力工程学院机器人研究所
赵言正,上海交通大学机械与动力工程学院机器人研究所
李艳东,哈尔滨工程大学自动化学院
王宗义,哈尔滨工程大学自动化学院
朱玲,哈尔滨工程大学自动化学院
张浩鹏,哈尔滨工程大学自动化学院
向阳琴,湖南大学电气与信息工程学院
